P-value Rank,Percent Discovered Mitocarta Genes
1,0.09
2,0.18
3,0.18
4,0.26
5,0.35
6,0.44
7,0.53
8,0.62
9,0.71
10,0.79
11,0.88
12,0.97
13,1.06
14,1.15
15,1.23
16,1.32
17,1.41
18,1.50
19,1.59
20,1.68
21,1.76
22,1.85
23,1.94
24,2.03
25,2.12
26,2.20
27,2.29
28,2.38
29,2.47
30,2.56
31,2.65
32,2.73
33,2.82
34,2.91
35,3.00
36,3.09
37,3.17
38,3.26
39,3.35
40,3.44
41,3.53
42,3.62
43,3.70
44,3.79
45,3.88
46,3.97
47,4.06
48,4.14
49,4.23
50,4.32
51,4.41
52,4.50
53,4.59
54,4.67
55,4.76
56,4.85
57,4.94
58,5.03
59,5.11
60,5.20
61,5.29
62,5.38
63,5.47
64,5.56
65,5.64
66,5.64
67,5.73
68,5.82
69,5.91
70,6.00
71,6.08
72,6.17
73,6.26
74,6.35
75,6.44
76,6.53
77,6.61
78,6.70
79,6.79
80,6.88
81,6.97
82,7.05
83,7.14
84,7.23
85,7.32
86,7.41
87,7.50
88,7.58
89,7.67
90,7.76
91,7.85
92,7.94
93,8.02
94,8.11
95,8.20
96,8.20
97,8.29
98,8.38
99,8.47
100,8.55
101,8.64
102,8.73
103,8.82
104,8.91
105,8.99
106,9.08
107,9.17
108,9.26
109,9.35
110,9.44
111,9.52
112,9.61
113,9.70
114,9.79
115,9.88
116,9.96
117,10.05
118,10.14
119,10.23
120,10.32
121,10.41
122,10.49
123,10.58
124,10.67
125,10.76
126,10.85
127,10.93
128,11.02
129,11.11
130,11.20
131,11.29
132,11.29
133,11.29
134,11.38
135,11.46
136,11.55
137,11.64
138,11.73
139,11.82
140,11.90
141,11.99
142,12.08
143,12.17
144,12.26
145,12.35
146,12.43
147,12.52
148,12.61
149,12.70
150,12.79
151,12.87
152,12.96
153,13.05
154,13.14
155,13.23
156,13.32
157,13.40
158,13.49
159,13.58
160,13.67
161,13.76
162,13.84
163,13.93
164,13.93
165,14.02
166,14.11
167,14.20
168,14.29
169,14.29
170,14.37
171,14.46
172,14.55
173,14.64
174,14.73
175,14.81
176,14.90
177,14.99
178,15.08
179,15.17
180,15.17
181,15.26
182,15.26
183,15.34
184,15.43
185,15.52
186,15.61
187,15.70
188,15.78
189,15.87
190,15.96
191,16.05
192,16.14
193,16.23
194,16.31
195,16.40
196,16.49
197,16.58
198,16.67
199,16.75
200,16.84
201,16.93
202,17.02
203,17.11
204,17.20
205,17.28
206,17.28
207,17.37
208,17.46
209,17.55
210,17.64
211,17.72
212,17.81
213,17.90
214,17.99
215,18.08
216,18.17
217,18.25
218,18.34
219,18.43
220,18.52
221,18.61
222,18.69
223,18.78
224,18.87
225,18.96
226,19.05
227,19.14
228,19.22
229,19.31
230,19.40
231,19.49
232,19.49
233,19.58
234,19.66
235,19.75
236,19.84
237,19.93
238,20.02
239,20.11
240,20.19
241,20.28
242,20.37
243,20.46
244,20.55
245,20.63
246,20.72
247,20.81
248,20.90
249,20.99
250,21.08
251,21.16
252,21.25
253,21.34
254,21.43
255,21.52
256,21.60
257,21.69
258,21.78
259,21.87
260,21.96
261,22.05
262,22.05
263,22.13
264,22.22
265,22.31
266,22.40
267,22.49
268,22.57
269,22.66
270,22.75
271,22.84
272,22.93
273,23.02
274,23.10
275,23.19
276,23.28
277,23.37
278,23.46
279,23.54
280,23.63
281,23.72
282,23.81
283,23.90
284,23.99
285,24.07
286,24.16
287,24.25
288,24.34
289,24.43
290,24.51
291,24.60
292,24.69
293,24.78
294,24.87
295,24.96
296,25.04
297,25.04
298,25.04
299,25.13
300,25.22
301,25.31
302,25.40
303,25.49
304,25.57
305,25.66
306,25.75
307,25.84
308,25.93
309,26.01
310,26.10
311,26.19
312,26.28
313,26.37
314,26.46
315,26.54
316,26.63
317,26.72
318,26.81
319,26.90
320,26.90
321,26.98
322,27.07
323,27.16
324,27.16
325,27.25
326,27.34
327,27.43
328,27.51
329,27.60
330,27.69
331,27.78
332,27.87
333,27.95
334,28.04
335,28.13
336,28.22
337,28.31
338,28.40
339,28.48
340,28.57
341,28.57
342,28.66
343,28.75
344,28.84
345,28.92
346,28.92
347,29.01
348,29.10
349,29.10
350,29.19
351,29.28
352,29.37
353,29.45
354,29.54
355,29.63
356,29.72
357,29.81
358,29.89
359,29.98
360,30.07
361,30.16
362,30.25
363,30.34
364,30.42
365,30.51
366,30.60
367,30.69
368,30.78
369,30.86
370,30.86
371,30.95
372,31.04
373,31.04
374,31.13
375,31.22
376,31.22
377,31.31
378,31.39
379,31.48
380,31.57
381,31.66
382,31.75
383,31.75
384,31.83
385,31.92
386,32.01
387,32.10
388,32.19
389,32.28
390,32.36
391,32.45
392,32.54
393,32.63
394,32.72
395,32.80
396,32.89
397,32.89
